
; Distancia (Mpc) ; Nome da galaxia1 ; Massa1 ($M_\odot$) ; Idade1 (Gyr) ; redshift1 ; Nome da galaxia2 ; Massa2 ($M_\odot$) ; Idade2 (Gyr) ; redshift2 ; Criterio ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6182 ; $1.5 \times 10^{9}$ ; 3.0 ; 0.00318 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2662 ; $1.9 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2675 ; $2.2 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 15.3 ; NGC 5866 ; $1.4 \times 10^{11}$ ; 11.0 ; 0.00224 ; NGC 5907 ; $1.8 \times 10^{11}$ ; 8.5 ; 0.00223 ; 1 ;
; 15.3 ; NGC 5866 ; $1.4 \times 10^{11}$ ; 11.0 ; 0.00224 ; NGC 5879 ; $2.5 \times 10^{10}$ ; 7.0 ; 0.00257 ; 0 ;
; 15.3 ; NGC 5866 ; $1.4 \times 10^{11}$ ; 11.0 ; 0.00224 ; UGC 9776 ; $9.0 \times 10^{8}$ ; 4.0 ; 0.00211 ; 1 ;
; 16.5 ; NGC 4429 ; $1.1 \times 10^{11}$ ; 11.5 ; 0.00368 ; VCC 4740 ; $1.5 \times 10^{8}$ ; 4.0 ; 0.00395 ; 1 ;
; 16.5 ; NGC 4435 ; $3.5 \times 10^{10}$ ; 8.0 ; 0.00264 ; VCC 4781 ; $8.0 \times 10^{7}$ ; 4.5 ; 0.00221 ; 0 ;
; 16.5 ; NGC 4438 ; $7.0 \times 10^{10}$ ; 9.0 ; 0.00023 ; VCC 4822 ; $2.8 \times 10^{8}$ ; 5.0 ; 0.00062 ; 1 ;
; 16.5 ; NGC 4442 ; $6.0 \times 10^{10}$ ; 12.0 ; 0.00182 ; VCC 4861 ; $1.1 \times 10^{8}$ ; 3.5 ; 0.00145 ; 0 ;
; 16.5 ; NGC 4450 ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00652 ; VCC 4912 ; $4.0 \times 10^{8}$ ; 5.5 ; 0.00699 ; 1 ;
; 16.5 ; NGC 4452 ; $6.0 \times 10^{9}$ ; 9.5 ; 0.00018 ; VCC 4951 ; $7.5 \times 10^{7}$ ; 4.0 ; -0.00021 ; 0 ;
; 16.5 ; NGC 4459 ; $8.0 \times 10^{10}$ ; 10.5 ; 0.00397 ; VCC 5002 ; $1.6 \times 10^{8}$ ; 3.5 ; 0.00441 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1980 ; $1.6 \times 10^{9}$ ; 5.0 ; 0.00532 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2045 ; $3.5 \times 10^{9}$ ; 4.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4302 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4305 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00841 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7142 ; $3.0 \times 10^{9}$ ; 3.5 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6112 ; $1.8 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2672 ; $2.1 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2685 ; $1.6 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 25.0 ; NGC 3190 ; $1.5 \times 10^{11}$ ; 10.5 ; 0.00424 ; NGC 3193 ; $1.2 \times 10^{11}$ ; 11.0 ; 0.00461 ; 1 ;
; 25.0 ; NGC 3190 ; $1.5 \times 10^{11}$ ; 10.5 ; 0.00424 ; NGC 3185 ; $3.5 \times 10^{10}$ ; 7.5 ; 0.00406 ; 0 ;
; 25.0 ; NGC 3190 ; $1.5 \times 10^{11}$ ; 10.5 ; 0.00424 ; NGC 3187 ; $2.0 \times 10^{10}$ ; 6.0 ; 0.00527 ; 1 ;
; 16.5 ; NGC 4461 ; $5.0 \times 10^{10}$ ; 11.0 ; 0.00644 ; VCC 5040 ; $1.2 \times 10^{8}$ ; 4.0 ; 0.00685 ; 1 ;
; 16.5 ; NGC 4468 ; $3.0 \times 10^{9}$ ; 8.5 ; 0.00298 ; VCC 5081 ; $7.0 \times 10^{7}$ ; 4.5 ; 0.00261 ; 0 ;
; 16.5 ; NGC 4473 ; $1.1 \times 10^{11}$ ; 12.0 ; 0.00748 ; VCC 5122 ; $3.2 \times 10^{8}$ ; 5.0 ; 0.00791 ; 1 ;
; 16.5 ; NGC 4477 ; $8.0 \times 10^{10}$ ; 11.0 ; 0.00446 ; VCC 5161 ; $1.5 \times 10^{8}$ ; 3.5 ; 0.00412 ; 0 ;
; 16.5 ; NGC 4501 (M88) ; $2.5 \times 10^{11}$ ; 8.5 ; 0.00761 ; VCC 5211 ; $4.5 \times 10^{8}$ ; 4.0 ; 0.00812 ; 1 ;
; 16.5 ; NGC 4503 ; $2.5 \times 10^{10}$ ; 10.5 ; 0.00111 ; VCC 5240 ; $9.5 \times 10^{7}$ ; 4.5 ; 0.00148 ; 1 ;
; 16.5 ; NGC 4517 ; $4.0 \times 10^{10}$ ; 7.5 ; 0.00376 ; VCC 5291 ; $1.1 \times 10^{8}$ ; 3.5 ; 0.00331 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1982 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2048 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4312 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4315 ; $2.2 \times 10^{9}$ ; 4.5 ; 0.00841 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7162 ; $3.5 \times 10^{9}$ ; 3.5 ; 0.00391 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6082 ; $1.6 \times 10^{9}$ ; 3.0 ; 0.00318 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2682 ; $2.4 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2695 ; $1.8 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 10.1 ; NGC 3368 (M96) ; $8.0 \times 10^{10}$ ; 8.5 ; 0.00299 ; NGC 3351 (M95) ; $5.0 \times 10^{10}$ ; 7.0 ; 0.00260 ; 0 ;
; 10.1 ; NGC 3368 (M96) ; $8.0 \times 10^{10}$ ; 8.5 ; 0.00299 ; NGC 3379 (M105) ; $1.0 \times 10^{11}$ ; 11.0 ; 0.00304 ; 1 ;
; 10.1 ; NGC 3368 (M96) ; $8.0 \times 10^{10}$ ; 8.5 ; 0.00299 ; NGC 3384 ; $4.0 \times 10^{10}$ ; 10.0 ; 0.00235 ; 0 ;
; 16.5 ; NGC 4527 ; $1.2 \times 10^{11}$ ; 8.0 ; 0.00579 ; VCC 5321 ; $1.5 \times 10^{8}$ ; 4.0 ; 0.00612 ; 1 ;
; 16.5 ; NGC 4535 ; $1.5 \times 10^{11}$ ; 8.5 ; 0.00655 ; VCC 5364 ; $9.0 \times 10^{7}$ ; 3.5 ; 0.00611 ; 0 ;
; 16.5 ; NGC 4546 ; $8.0 \times 10^{10}$ ; 11.0 ; 0.00350 ; VCC 5402 ; $2.8 \times 10^{8}$ ; 4.5 ; 0.00395 ; 1 ;
; 16.5 ; NGC 4550 ; $1.5 \times 10^{10}$ ; 10.0 ; 0.00145 ; VCC 5441 ; $6.5 \times 10^{7}$ ; 4.0 ; 0.00112 ; 0 ;
; 16.5 ; NGC 4552 (M89) ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00113 ; VCC 5480 ; $3.5 \times 10^{8}$ ; 5.0 ; 0.00151 ; 1 ;
; 16.5 ; NGC 4564 ; $3.0 \times 10^{10}$ ; 11.5 ; 0.00381 ; VCC 5512 ; $1.1 \times 10^{8}$ ; 4.5 ; 0.00416 ; 1 ;
; 16.5 ; NGC 4569 (M90) ; $3.0 \times 10^{11}$ ; 9.0 ; -0.00078 ; VCC 5551 ; $5.0 \times 10^{8}$ ; 4.0 ; -0.00042 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1993 ; $3.2 \times 10^{9}$ ; 4.5 ; 0.00494 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2040 ; $4.0 \times 10^{9}$ ; 5.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4322 ; $1.6 \times 10^{9}$ ; 4.5 ; 0.00892 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4325 ; $1.3 \times 10^{9}$ ; 4.0 ; 0.00895 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7182 ; $2.5 \times 10^{9}$ ; 3.5 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6012 ; $1.4 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2692 ; $1.7 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2705 ; $1.3 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 19.4 ; NGC 4274 ; $1.8 \times 10^{11}$ ; 10.0 ; 0.00304 ; NGC 4278 ; $2.0 \times 10^{11}$ ; 11.5 ; 0.00207 ; 1 ;
; 19.4 ; NGC 4274 ; $1.8 \times 10^{11}$ ; 10.0 ; 0.00304 ; NGC 4245 ; $2.5 \times 10^{10}$ ; 8.0 ; 0.00295 ; 0 ;
; 19.4 ; NGC 4274 ; $1.8 \times 10^{11}$ ; 10.0 ; 0.00304 ; NGC 4314 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00322 ; 1 ;
; 16.5 ; NGC 4570 ; $9.0 \times 10^{10}$ ; 11.5 ; 0.00595 ; VCC 5580 ; $1.4 \times 10^{8}$ ; 4.0 ; 0.00631 ; 1 ;
; 16.5 ; NGC 4578 ; $3.5 \times 10^{10}$ ; 11.0 ; 0.00762 ; VCC 5621 ; $8.0 \times 10^{7}$ ; 4.5 ; 0.00711 ; 0 ;
; 16.5 ; NGC 4596 ; $7.0 \times 10^{10}$ ; 10.5 ; 0.00341 ; VCC 5664 ; $3.2 \times 10^{8}$ ; 5.0 ; 0.00388 ; 1 ;
; 16.5 ; NGC 4606 ; $1.4 \times 10^{10}$ ; 7.0 ; 0.00377 ; VCC 5702 ; $6.0 \times 10^{7}$ ; 3.5 ; 0.00331 ; 0 ;
; 16.5 ; NGC 4621 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; VCC 5751 ; $4.0 \times 10^{8}$ ; 5.5 ; 0.00195 ; 1 ;
; 16.5 ; NGC 4636 ; $3.0 \times 10^{11}$ ; 12.5 ; 0.00355 ; VCC 5801 ; $1.2 \times 10^{8}$ ; 4.0 ; 0.00399 ; 1 ;
; 16.5 ; NGC 4638 ; $2.5 \times 10^{10}$ ; 10.0 ; 0.00384 ; VCC 5840 ; $1.6 \times 10^{8}$ ; 3.5 ; 0.00342 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1952 ; $2.5 \times 10^{9}$ ; 5.0 ; 0.00554 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2045 ; $3.5 \times 10^{9}$ ; 4.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1982 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4328 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.00985 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4332 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00849 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7202 ; $2.2 \times 10^{9}$ ; 3.5 ; 0.00391 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 5982 ; $1.2 \times 10^{9}$ ; 3.0 ; 0.00318 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2722 ; $1.5 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2735 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 11.9 ; NGC 4565 ; $2.5 \times 10^{11}$ ; 9.0 ; 0.00410 ; NGC 4562 ; $4.0 \times 10^{9}$ ; 5.5 ; 0.00451 ; 1 ;
; 11.9 ; NGC 4565 ; $2.5 \times 10^{11}$ ; 9.0 ; 0.00410 ; IC 3571 ; $1.2 \times 10^{8}$ ; 3.5 ; 0.00388 ; 1 ;
; 11.9 ; NGC 4565 ; $2.5 \times 10^{11}$ ; 9.0 ; 0.00410 ; NGC 4494 ; $1.2 \times 10^{11}$ ; 11.0 ; 0.00448 ; 0 ;
; 16.5 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; VCC 5881 ; $1.1 \times 10^{8}$ ; 4.0 ; 0.00491 ; 1 ;
; 16.5 ; NGC 4651 ; $3.0 \times 10^{10}$ ; 7.5 ; 0.00267 ; VCC 5912 ; $7.0 \times 10^{7}$ ; 3.5 ; 0.00221 ; 0 ;
; 16.5 ; NGC 4654 ; $4.5 \times 10^{10}$ ; 7.5 ; 0.00349 ; VCC 5964 ; $2.5 \times 10^{8}$ ; 4.5 ; 0.00395 ; 1 ;
; 16.5 ; NGC 4660 ; $3.0 \times 10^{10}$ ; 11.0 ; 0.00361 ; VCC 6011 ; $6.5 \times 10^{7}$ ; 4.0 ; 0.00312 ; 0 ;
; 16.5 ; NGC 4666 ; $1.2 \times 10^{11}$ ; 8.0 ; 0.00507 ; VCC 6051 ; $3.5 \times 10^{8}$ ; 5.0 ; 0.00551 ; 1 ;
; 16.5 ; NGC 4689 ; $4.0 \times 10^{10}$ ; 7.0 ; 0.00539 ; VCC 6102 ; $1.5 \times 10^{8}$ ; 4.5 ; 0.00585 ; 1 ;
; 16.5 ; NGC 4694 ; $1.5 \times 10^{10}$ ; 6.5 ; 0.00387 ; VCC 6140 ; $1.8 \times 10^{8}$ ; 3.5 ; 0.00341 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1980 ; $1.6 \times 10^{9}$ ; 5.0 ; 0.00532 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 2045 ; $3.5 \times 10^{9}$ ; 4.5 ; 0.00631 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4335 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4338 ; $2.2 \times 10^{9}$ ; 4.5 ; 0.00841 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7222 ; $1.9 \times 10^{9}$ ; 3.5 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 5912 ; $1.1 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2732 ; $1.3 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2745 ; $1.0 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 4.7 ; NGC 4736 (M94) ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00103 ; NGC 4244 ; $1.5 \times 10^{10}$ ; 6.5 ; 0.00081 ; 1 ;
; 4.7 ; NGC 4736 (M94) ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00103 ; NGC 4395 ; $4.0 \times 10^{9}$ ; 5.0 ; 0.00106 ; 0 ;
; 4.7 ; NGC 4736 (M94) ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00103 ; UGC 8331 ; $6.0 \times 10^{7}$ ; 3.5 ; 0.00087 ; 1 ;
; 16.5 ; NGC 4710 ; $4.0 \times 10^{10}$ ; 10.0 ; 0.00367 ; VCC 6181 ; $9.0 \times 10^{7}$ ; 4.0 ; 0.00411 ; 1 ;
; 16.5 ; NGC 4754 ; $1.1 \times 10^{11}$ ; 11.5 ; 0.00451 ; VCC 6222 ; $1.6 \times 10^{8}$ ; 4.5 ; 0.00395 ; 0 ;
; 16.5 ; NGC 4762 ; $1.4 \times 10^{11}$ ; 11.0 ; 0.00329 ; VCC 6264 ; $3.5 \times 10^{8}$ ; 4.0 ; 0.00371 ; 1 ;
; 16.5 ; NGC 4866 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00671 ; VCC 6311 ; $7.0 \times 10^{7}$ ; 4.5 ; 0.00624 ; 0 ;
; 16.5 ; NGC 4984 ; $5.0 \times 10^{10}$ ; 9.5 ; 0.00412 ; VCC 6351 ; $1.4 \times 10^{8}$ ; 3.5 ; 0.00455 ; 1 ;
; 16.5 ; NGC 5084 ; $8.0 \times 10^{11}$ ; 12.0 ; 0.00574 ; VCC 6402 ; $4.5 \times 10^{8}$ ; 5.0 ; 0.00615 ; 1 ;
; 16.5 ; NGC 5134 ; $3.5 \times 10^{10}$ ; 8.5 ; 0.00441 ; VCC 6440 ; $8.0 \times 10^{7}$ ; 4.0 ; 0.00399 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 2045 ; $3.5 \times 10^{9}$ ; 4.5 ; 0.00631 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4342 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4345 ; $2.2 \times 10^{9}$ ; 4.5 ; 0.00841 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7242 ; $2.1 \times 10^{9}$ ; 3.5 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 5882 ; $1.3 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2742 ; $1.1 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2755 ; $1.2 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
